Passage,Summary,Commentary
1.24,"Sejanus is described as a man "magna apud Tiberium auctoritate". A director for Drusus as he tries to put down the revolt of the Percennians. He is also described as the one to demonstrate to the praetorian guards "the advantages of obedience and disadvantages of disobedience" - from Miller 146.",
1.69,,
3.16,,
3.29,,
3.35,,
3.66,,
3.72,,
4.1,,
4.3,,
4.7,,
4.8,,
4.10,,
4.11,,
4.12,,
4.15,,
4.17,,
4.19,,
4.26,,
4.34,,
4.39,,
4.40,,
4.41,,
4.54,,
4.57,,
4.58,,
4.59,,
4.60,,
4.67,,
4.68,,
4.70,,
4.71,,
4.74,,
5.3,,
5.4,,
5.6,,
5.8,,
5.9,,
5.11,,
6.2,,
6.3,,
6.7,,
6.8,,
6.10,,
6.14,,
6.19,,
6.23,,
6.25,,
6.29,,
6.30,,
6.38,,
6.48,,
6.51,,
13.45,,
